"id","text","receptive"
1,"well that's an interesting opinion you have of police violence against minorities. thank you for taking the time to explain it. i think your point of view is unique and i appreciated reading what you wrote, despite the fact that it is completely wrong",-1.92535375065618
2,"I agree with you but I have never understood why they do not just let the police arrest the person and treat them the same way as a non student.  They are innocent until proven guilty and should not be removed from campus until they are.  It just does not make sense to me why college students are treated differently then normal people when it comes to crimes, especailly sex crimes. ",0.316921007030117
3,"I understand your viewpoint here, but I have to disagree. Accused individuals are innocent until proven guilty, that is the law, and this is an important concept to protect. I do not think someone should have their life disrupted because they have been accused of a crime, especially as it is entirely possible this person is innocent. It is a good goal to protect victims, but removing the accused from campus entirely based on nothing more than accusation is unacceptable.",-0.0957774056676374
4,"If even one ""accidental"" death happens, it is far too many. It's not even a matter of race, police should not be so trigger happy. Police should not be murdering people for committing crimes, unless they pose a significant threat to other lives or the officer in question's life.",-1.35590930621085
5,"You also have to look at the police officer's point of view. There are times that they feel threatened and in danger. Don't they also have the right to defend their lives and preservation?",-0.404349952342518
6,"I like that you treat both sides of the altercation equally with the same rights. There is always a chance that the defendant may be innocent. Just because there are accusations made, doesn't mean it's true and that the defendant should be treated like a criminal. I really like that you take both parties into consideration.",1.50910446325486
7,"I understand your concern for due process but in this instance i think you need to be concerned for the well-being of the victim, not just physically but also emotionally. & of course people lie, but i would rather err on believing the victim and carrying out a proper investigation than force them to be in an environment with the accused perpetrator. This also happens in dozens of other professional fields; for example if a police officer is under investigation, they are often suspended while that investigation occurs... even if they have not yet been formally charged with a crime. ",-1.00200664785633
8,"i COMPLETE AGREE WITH WHAT YOU ARE SAYING. Yes these cops are out of control and need to be punished for their wrong doings. Only the pople with the same skin color as the police are saying the police are doing no wrong will also pay for their evil ways.",-2.03927058726313
9,"It's true that not a lot has been done to improve the dialogue between minorities and law enforcement officers, however, we don't see much, if any of this brutality going on between non-minorities and police officers. Because it seems that only minorities are suffering due to this issue, I think it's fair to blast it on social media until someone answers for their crimes.",-0.110538935840607
10,"I can get where you're coming from. Our justice system is based on a presumption of innocence, so I understand that it would seen unfair or wrong to remove the accused. However, we are also not considering just how often the victim of such crimes as these- usually women, though not exclusively- are often dismissed when they come forward after being assaulted. We should try and protect wrongfully accused individuals but also not prioritize offenders comfort over that of victims. ",0.312808166958493
11,"I disagree with you.  If a person is being charged with a crime of sexual assault they can do it to other people.  I get that you are innocent until found guilty but in a case like this the person needs to be removed while a decision is made.  The other people need to be protected.  ",-1.05756220341188
12,"In American society, we have due process. Accusations alone cannot be used as evidence. By the same token, we must treat all accusations as credible and investigate them thoroughly. If the victim is in danger, steps should be taken to make sure they are safe and not assaulted again.",0.189936880046669
13,"This is a well thought out and appropriate response. The number of times men are falsely accused happens a whole lot less than a woman actually being sexually assaulted. It happens far too often. ",0.072067426217753
14,"I basically agree with that statement. However if you don't take the accusation correctly they could have enough time to continue assaulting people during the time of collecting the accurate evidence. I understand not wanting to accuse someone who may possibly be innocent but most of the time the accusations are true and they need to be taken seriously. They could be put on a temporary leave from the school and not spoken on the subject until the proof is found. Then if found guilty kicked out permanately. ",0.831326685477013
15,"If someone gives a credible sexual assault allegation, the perpetrator should be handled by the POLICE. The school's job is not that of the police. A sexual assault allegation itself should not ruin an innocent person's life, and being removed from campus could very well do that. If the police believe the perpetrator is a threat, it is their job to deal with it, not the schools. ",-0.143396453286661
16,"Your thoughts were very clear.  Before reading them, I was more for letting the perpetrator stay on campus as they were only alleged, but after reading your response I'm not so sure.  I see your point of view.  I would want to know more about the statistics of the ""vast majority"" telling the truth, as it seems more and more than people are falsely accused, but I do understand the precaution you talk about.  I wonder if there is some middle ground - because if the perpetrator really didn't do anything, then removing them creates a stigma on their reputation that they didn't deserve.  Your response made me want to do a little more research/ thinking!  Thank you!  ",1.87247656258635
17,"I understand where you are coming from and definitely think that a victim's peace of mind is very important as well as preventing further attacks.  However, since the perpetrator is not yet found guilty and has only be accused I think it might be very detrimental to the alleged perpetrator if these accusations prove to be false, however unlikely that may or may not be.  Removing someone who is innocent will seriously hurt the way the public views them regardless of their innocence and may be very detrimental to their health.",0.273534763644559
18,"The police should minimize the use of excessive force against minorities. I believe that if they do so, there won't be any need for the masses to keep talking about them on social media.",-0.425353750655417
19,"So you believe in guilty until proved innocent and the common justice is inconvenient at best. How would you feel if you were accused of a sexual crime and were not allowed to defend yourself? Have you never heard of false accusations? ",-1.44498375487396
20,"You make a valid point that either gender is capable of lying.  I agree that the process should be fair to determine if someone is guilty or innocent.  We should also keep in mind the safety of everyone involved and what is best for everyone in this situation.",1.16466001881034
